MAG_id,superkingdom,phylum,genome_size,cluster_div
WalshAM_2020__ERS3466743__bin.7,Bacteria,Proteobacteria,4167862,1014
XieM_2019__SAMC044639__bin.9,Bacteria,Proteobacteria,4419635,1229
AlvarezOrdonezA_xxxx__Q08-21__bin.1,Bacteria,Proteobacteria,3586922,1008
AlvarezOrdonezA_xxxx__Q08-26__bin.4,Bacteria,Proteobacteria,2020695,638
AlvarezOrdonezA_xxxx__Q02-29__bin.13,Bacteria,Proteobacteria,4296876,1175
LeechJ_xxxx__AF89__bin.7,Bacteria,Proteobacteria,4012379,964
LiZ_2018__SRS2920551__bin.23,Bacteria,Proteobacteria,4831624,719
MASTER_WP4_CSIC_2__P2619__bin.38,Bacteria,Proteobacteria,4744676,1157
PfeferT_xxxx__SRS2870569__bin.5,Bacteria,Proteobacteria,2409433,754
PfeferT_xxxx__SRS2870592__bin.10,Bacteria,Proteobacteria,2775059,811
ChaconVargasK_2020__SRS6087088__bin.4,Bacteria,Proteobacteria,3144400,793
LeechJ_2020__ERS3967698__bin.4,Bacteria,Proteobacteria,5234531,1099
MASTER_WP4_TEAGASC_1__TGS08-29__bin.65,Bacteria,Proteobacteria,3732338,954
AlvarezOrdonezA_xxxx__Q02-27__bin.12,Bacteria,Proteobacteria,4477763,838
LeechJ_xxxx__AF73__bin.1,Bacteria,Proteobacteria,4184865,913
MASTER_WP4_CSIC_2__P2587__bin.9,Bacteria,Proteobacteria,5359157,1353
MASTER_WP4_FFoQSI_2__VB04-26__bin.4,Bacteria,Proteobacteria,3861306,997
PfeferT_xxxx__SRS2870600__bin.7,Bacteria,Proteobacteria,2414380,735
ZhaoCC_2020__SRS5803195__bin.38,Bacteria,Firmicutes,2557206,176
DeFilippisF_xxxx__DS_112__bin.5,Bacteria,Proteobacteria,5639388,1391
LiZ_2019__SRS3379157__bin.3,Bacteria,Proteobacteria,4748655,1261
MASTER_WP4_UNINA_1__CS001_71775__bin.16,Bacteria,Proteobacteria,4605979,1316
MASTER_WP4_UNINA_2__O-23.1__bin.11,Bacteria,Proteobacteria,3863026,1072
LiZ_2019__SRS3379165__bin.1,Bacteria,Proteobacteria,2392890,751
AlvarezOrdonezA_xxxx__Q04-21__bin.14,Bacteria,Proteobacteria,3904243,1094
ChaconVargasK_2020__SRS6087090__bin.6,Bacteria,Proteobacteria,2456232,645
LiZ_2018__SRS2920550__bin.22,Bacteria,Proteobacteria,4816916,718
MASTER_WP4_CSIC_1__P2234_73323__bin.2,Bacteria,Proteobacteria,4006683,1194
PfeferT_xxxx__SRS2870568__bin.2,Bacteria,Proteobacteria,2187166,694
AlvarezOrdonezA_xxxx__Q07-21__bin.4,Bacteria,Proteobacteria,4364891,1169
MASTER_WP4_CSIC_1__P2236_73323__bin.11,Bacteria,Proteobacteria,4144943,1207
MASTER_WP4_CSIC_2__P2504__bin.1,Bacteria,Proteobacteria,4189813,1105
MASTER_WP4_CSIC_2__P2613__bin.16,Bacteria,Proteobacteria,2503025,741
PfeferT_xxxx__SRS2870567__bin.3,Bacteria,Proteobacteria,2679230,799
PfeferT_xxxx__SRS2870593__bin.6,Bacteria,Proteobacteria,3263423,929
WolfeBE_2014__282_Bethlehem__bin.4,Bacteria,Proteobacteria,4490579,1273
LeechJ_2020__ERS3967689__bin.4,Bacteria,Proteobacteria,4163654,1244
MASTER_WP4_CSIC_2__P2623__bin.59,Bacteria,Proteobacteria,3882291,425
MASTER_WP4_TEAGASC_1__TGS05-28_0__bin.13,Bacteria,Proteobacteria,3584221,1085
AlvarezOrdonezA_xxxx__Q06-24__bin.6,Bacteria,Proteobacteria,3652607,1151
AlvarezOrdonezA_xxxx__Q08-24__bin.1,Bacteria,Proteobacteria,5197077,1337
LeechJ_xxxx__AF76__bin.15,Bacteria,Proteobacteria,4204274,798
MASTER_WP4_CSIC_2__P2585__bin.14,Bacteria,Proteobacteria,4597687,1132
MASTER_WP4_UNINA_1__PM002_71775__bin.11,Bacteria,Proteobacteria,4095232,1143
KumarJ_2019__SRS4562500__bin.6,Bacteria,Proteobacteria,3770096,267
WalshAM_2020__ERS3466748__bin.1,Bacteria,Proteobacteria,4336816,1135
AlvarezOrdonezA_xxxx__Q02-30__bin.14,Bacteria,Proteobacteria,3847919,916
DeFilippisF_xxxx__DS_111__bin.3,Bacteria,Proteobacteria,4995736,1173
MASTER_WP4_FFoQSI_2__VB04-25__bin.7,Bacteria,Proteobacteria,4553535,1278
MASTER_WP4_UNINA_1__GO001_73417__bin.5,Bacteria,Proteobacteria,3338883,699
AlvarezOrdonezA_xxxx__Q02-23__bin.7,Bacteria,Proteobacteria,3562282,1043
LeechJ_2020__ERS3967688__bin.2,Bacteria,Proteobacteria,4434805,1300
WalshAM_2020__ERS3466774__bin.2,Bacteria,Proteobacteria,3963302,272
LeechJ_2020__ERS3967698__bin.1,Bacteria,Proteobacteria,4446660,1270
MASTER_WP4_CSIC_1__P2236_73323__bin.10,Bacteria,Proteobacteria,4644039,1281
MASTER_WP4_CSIC_1__P2249_73323__bin.14,Bacteria,Proteobacteria,3053906,190
MASTER_WP4_UNINA_1__PB007_73417__bin.29,Bacteria,Proteobacteria,3816392,1110
WalshAM_2017__ERS1739838__bin.2,Bacteria,Proteobacteria,3254450,834
AlvarezOrdonezA_xxxx__Q02-28__bin.17,Bacteria,Proteobacteria,5047445,1361
AlvarezOrdonezA_xxxx__Q02-30__bin.22,Bacteria,Proteobacteria,5135934,1394
AlvarezOrdonezA_xxxx__Q08-23__bin.7,Bacteria,Proteobacteria,4511091,1180
ChaconVargasK_2020__SRS6087089__bin.15,Bacteria,Proteobacteria,1993382,536
LiZ_2018__SRS2920555__bin.2,Bacteria,Proteobacteria,4837837,721
AlvarezOrdonezA_xxxx__Q02-29__bin.18,Bacteria,Proteobacteria,4365763,1159
MASTER_WP4_CSIC_1__P2234_73323__bin.8,Bacteria,Proteobacteria,4538465,1227
MASTER_WP4_CSIC_1__P2235_73323__bin.23,Bacteria,Proteobacteria,4655439,1273
MASTER_WP4_CSIC_2__P2623__bin.26,Bacteria,Proteobacteria,3331654,741
WalshAM_2020__ERS3466774__bin.1,Bacteria,Proteobacteria,5082153,1094
AlvarezOrdonezA_xxxx__Q02-27__bin.2,Bacteria,Proteobacteria,4241546,1169
AlvarezOrdonezA_xxxx__Q06-25__bin.9,Bacteria,Proteobacteria,3686917,1132
DeFilippisF_xxxx__DF_79__bin.11,Bacteria,Proteobacteria,4633020,1240
LeechJ_2020__ERS3967715__bin.8,Bacteria,Proteobacteria,5143447,790
LeechJ_2020__ERS3967741__bin.11,Bacteria,Proteobacteria,3891072,975
MASTER_WP4_CSIC_1__P2235_73323__bin.22,Bacteria,Proteobacteria,4663692,1305
MASTER_WP4_UNINA_2__O-25.1__bin.20,Bacteria,Proteobacteria,4964208,1099
XieM_2019__SAMC044639__bin.28,Bacteria,Proteobacteria,2117360,650
AlvarezOrdonezA_xxxx__Q04-24__bin.10,Bacteria,Proteobacteria,3362926,928
AlvarezOrdonezA_xxxx__Q05-21__bin.11,Bacteria,Proteobacteria,1633560,553
MASTER_WP4_TEAGASC_1__TGS08-29__bin.64,Bacteria,Proteobacteria,5322763,1130
AlvarezOrdonezA_xxxx__Q04-30__bin.13,Bacteria,Proteobacteria,4825815,1117
AlvarezOrdonezA_xxxx__Q04-28__bin.6,Bacteria,Proteobacteria,2664187,808
AlvarezOrdonezA_xxxx__Q04-25__bin.3,Bacteria,Proteobacteria,2855042,812
AlvarezOrdonezA_xxxx__Q04-27__bin.2,Bacteria,Proteobacteria,3665212,714
WalshAM_2017__ERS1739837__bin.1,Bacteria,Proteobacteria,4727603,1256
SternesPR_2017__Y3D3_B_shotgun__bin.2,Bacteria,Proteobacteria,3262280,349
WalshAM_2017__ERS1739831__bin.1,Bacteria,Proteobacteria,4047770,1095
MASTER_WP4_CSIC_2__P2596__bin.6,Bacteria,Proteobacteria,4350039,1017
SternesPR_2017__Y3D3_A_shotgun__bin.3,Bacteria,Proteobacteria,2118497,225
SternesPR_2017__T2D1_A_shotgun__bin.2,Bacteria,Proteobacteria,2512323,253
MASTER_WP4_FFoQSI_3__VB14-25__bin.2,Bacteria,Proteobacteria,4943283,1319
WalshAM_2017__ERS1739839__bin.4,Bacteria,Proteobacteria,3349016,703
LeechJ_xxxx__AF17__bin.3,Bacteria,Proteobacteria,4853921,1321
SternesPR_2017__Y3D1_A_shotgun__bin.2,Bacteria,Proteobacteria,2806537,315
MASTER_WP4_CSIC_2__P2597__bin.30,Bacteria,Proteobacteria,3783533,858
WalshAM_2017__ERS1739833__bin.2,Bacteria,Proteobacteria,4902194,1296
LiZ_2019__SRS3379166__bin.1,Bacteria,Proteobacteria,4338328,1189
MASTER_WP4_FFoQSI_3__VB12-25__bin.4,Bacteria,Proteobacteria,5145133,1389
SternesPR_2017__T1D1_B_shotgun__bin.4,Bacteria,Proteobacteria,2834856,310
MASTER_WP4_UNINA_2__O-25.1__bin.1,Bacteria,Proteobacteria,4190722,932
LeechJ_2020__ERS3967701__bin.1,Bacteria,Proteobacteria,4810251,1078
MASTER_WP4_FFoQSI_3__VB13-26__bin.1,Bacteria,Proteobacteria,3686067,937
SulaimanJ_2014__SRS398266__bin.1,Bacteria,Proteobacteria,4658317,1182
DeFilippisF_xxxx__DF_37__bin.11,Bacteria,Proteobacteria,3245095,212
DeFilippisF_xxxx__DS_103__bin.4,Bacteria,Proteobacteria,3581036,767
WalshAM_2020__ERS3466765__bin.1,Bacteria,Proteobacteria,3622556,800
LeechJ_2020__ERS3967689__bin.3,Bacteria,Proteobacteria,3629047,841
MASTER_WP4_CSIC_2__P2601__bin.25,Bacteria,Proteobacteria,2095495,585
LeechJ_xxxx__AF27__bin.4,Bacteria,Proteobacteria,2200352,198
AlvarezOrdonezA_xxxx__Q04-21__bin.11,Bacteria,Aquificae,3628451,1012
MASTER_WP4_CSIC_2__P2599__bin.7,Bacteria,Proteobacteria,2883762,773
MASTER_WP4_CSIC_2__P2594__bin.15,Bacteria,Proteobacteria,2687183,618
SalvettiE_2016__SRS1050146__bin.10,Bacteria,Proteobacteria,2544938,327
AlvarezOrdonezA_xxxx__Q04-26__bin.3,Bacteria,Firmicutes,2008810,598
AlvarezOrdonezA_xxxx__Q06-25__bin.3,Bacteria,Firmicutes,2703212,671
AlvarezOrdonezA_xxxx__Q07-21__bin.7,Bacteria,Firmicutes,2222062,644
BertuzziAS_2018__ERS2032094__bin.5,Bacteria,Firmicutes,1869990,594
BertuzziAS_2018__ERS2032123__bin.6,Bacteria,Firmicutes,2400354,650
MASTER_WP4_CSIC_1__P2227_73323__bin.8,Bacteria,Firmicutes,2066648,636
MASTER_WP4_CSIC_2__P2483__bin.11,Bacteria,Firmicutes,1237556,369
MASTER_WP4_CSIC_2__P2568__bin.12,Bacteria,Firmicutes,2297866,658
MASTER_WP4_CSIC_2__P2614__bin.32,Bacteria,Firmicutes,1242207,370
MASTER_WP4_CSIC_2__P2644__bin.4,Bacteria,Firmicutes,1300921,379
MASTER_WP4_TEAGASC_1__TGS14-21__bin.4,Bacteria,Firmicutes,1517247,447
MASTER_WP4_TEAGASC_1__TGS15-29__bin.16,Bacteria,Firmicutes,2290152,661
WalshAM_2020__ERS3466764__bin.2,Bacteria,Firmicutes,2288936,651
WalshL_xxxx__N1__bin.2,Bacteria,Firmicutes,1146687,308
WalshL_xxxx__P7__bin.1,Bacteria,Firmicutes,2199690,651
WalshL_xxxx__V5__bin.1,Bacteria,Firmicutes,2286613,647
AlvarezOrdonezA_xxxx__Q04-25__bin.9,Bacteria,Firmicutes,2226985,614
BertuzziAS_2018__ERS2032122__bin.5,Bacteria,Firmicutes,2146633,638
DeFilippisF_xxxx__DF_28__bin.13,Bacteria,Firmicutes,1615824,474
MASTER_WP4_CSIC_2__P2555__bin.7,Bacteria,Firmicutes,1219675,321
MASTER_WP4_FFoQSI_3__VB02-21__bin.2,Bacteria,Firmicutes,1290289,373
MASTER_WP4_TEAGASC_1__TGS10-21__bin.6,Bacteria,Firmicutes,2121859,610
MASTER_WP4_TEAGASC_1__TGS13-27__bin.6,Bacteria,Firmicutes,2222005,612
MASTER_WP4_UNINA_1__AS111_71775__bin.6,Bacteria,Firmicutes,2253490,618
MASTER_WP4_UNINA_1__CM008_71775__bin.19,Bacteria,Firmicutes,2142688,637
MASTER_WP4_UNINA_1__TO013_71775__bin.3,Bacteria,Firmicutes,2247886,652
MASTER_WP4_UNINA_2__H-30__bin.15,Bacteria,Firmicutes,1648002,469
MASTER_WP4_UNINA_2__T-23__bin.2,Bacteria,Firmicutes,2650876,667
MASTER_WP4_UNINA_2__V-24__bin.7,Bacteria,Firmicutes,1902217,556
WalshAM_2020__ERS3466740__bin.1,Bacteria,Firmicutes,2251838,639
WalshL_xxxx__C12__bin.1,Bacteria,Firmicutes,1936398,512
WalshL_xxxx__G9__bin.3,Bacteria,Firmicutes,2163393,633
WalshL_xxxx__M7__bin.1,Bacteria,Firmicutes,1575254,461
WalshL_xxxx__S11__bin.1,Bacteria,Firmicutes,2392132,660
AlvarezOrdonezA_xxxx__Q07-28__bin.2,Bacteria,Firmicutes,2222566,636
BertuzziAS_2018__ERS2032106__bin.6,Bacteria,Firmicutes,2349974,671
DeFilippisF_xxxx__DF_118__bin.11,Bacteria,Firmicutes,2072821,580
DeFilippisF_xxxx__DF_15__bin.13,Bacteria,Firmicutes,2059654,604
MASTER_WP4_CSIC_1__P2199_73323__bin.3,Bacteria,Firmicutes,1544557,471
MASTER_WP4_CSIC_1__P2215_73323__bin.2,Bacteria,Firmicutes,908499,298
MASTER_WP4_CSIC_1__P2226_73323__bin.5,Bacteria,Firmicutes,1260128,401
MASTER_WP4_CSIC_2__P2594__bin.12,Bacteria,Firmicutes,1472537,433
MASTER_WP4_CSIC_2__P2598__bin.24,Bacteria,Firmicutes,1067174,318
MASTER_WP4_CSIC_2__P2608__bin.6,Bacteria,Firmicutes,1605764,510
MASTER_WP4_TEAGASC_1__TGS14-28__bin.3,Bacteria,Firmicutes,2248434,646
MASTER_WP4_UNINA_2__H-24__bin.2,Bacteria,Firmicutes,2195963,639
WalshAM_2020__ERS3466725__bin.2,Bacteria,Firmicutes,2459158,672
WalshAM_2020__ERS3466766__bin.1,Bacteria,Firmicutes,1501292,428
WalshL_xxxx__L8__bin.5,Bacteria,Firmicutes,2227073,649
WalshL_xxxx__U-2-12__bin.2,Bacteria,Firmicutes,1844497,511
AlvarezOrdonezA_xxxx__Q02-28__bin.23,Bacteria,Firmicutes,2137184,551
AlvarezOrdonezA_xxxx__Q06-26__bin.1,Bacteria,Firmicutes,2570288,650
LeechJ_xxxx__AF46__bin.3,Bacteria,Firmicutes,2507996,647
MASTER_WP4_CSIC_1__P2233_73323__bin.8,Bacteria,Firmicutes,1857781,595
MASTER_WP4_CSIC_1__P2235_73323__bin.2,Bacteria,Firmicutes,1553836,501
MASTER_WP4_CSIC_2__P2550__bin.16,Bacteria,Firmicutes,1728078,469
MASTER_WP4_CSIC_2__P2596__bin.5,Bacteria,Firmicutes,1178863,363
MASTER_WP4_FFoQSI_3__VB09-23__bin.8,Bacteria,Firmicutes,1225267,339
MASTER_WP4_UNINA_1__AS003_73417__bin.4,Bacteria,Firmicutes,2060311,611
MASTER_WP4_UNINA_2__H-25__bin.4,Bacteria,Firmicutes,1544955,447
WalshAM_2020__ERS3466720__bin.1,Bacteria,Firmicutes,2232766,636
WalshAM_2020__ERS3466731__bin.4,Bacteria,Firmicutes,2302652,647
WalshAM_2020__ERS3466757__bin.1,Bacteria,Firmicutes,2462106,673
WalshL_xxxx__G2__bin.3,Bacteria,Firmicutes,2256655,650
WalshL_xxxx__H3__bin.3,Bacteria,Firmicutes,1156404,357
WalshL_xxxx__I2__bin.2,Bacteria,Firmicutes,1838303,532
WalshL_xxxx__M10__bin.2,Bacteria,Firmicutes,1501488,395
WalshL_xxxx__P12__bin.2,Bacteria,Firmicutes,1087960,279
WalshL_xxxx__U-2-11__bin.3,Bacteria,Firmicutes,1931605,535
WalshL_xxxx__V11__bin.2,Bacteria,Firmicutes,2247768,641
WalshL_xxxx__V6__bin.3,Bacteria,Firmicutes,2277117,645
AlvarezOrdonezA_xxxx__F07-18__bin.4,Bacteria,Firmicutes,1195642,357
BertuzziAS_2018__ERS2032101__bin.6,Bacteria,Firmicutes,2268379,643
BertuzziAS_2018__ERS2032110__bin.6,Bacteria,Firmicutes,2230014,650
BertuzziAS_2018__ERS2032114__bin.2,Bacteria,Firmicutes,2271057,642
DeFilippisF_xxxx__DF_122__bin.4,Bacteria,Firmicutes,1412883,370
KastmanEK_2016__CSB720__bin.3,Bacteria,Firmicutes,1740087,486
MASTER_WP4_CSIC_1__P2223_73323__bin.8,Bacteria,Firmicutes,1330601,414
MASTER_WP4_CSIC_2__P2524__bin.9,Bacteria,Firmicutes,1623757,500
MASTER_WP4_CSIC_2__P2610__bin.13,Bacteria,Firmicutes,1172259,345
MASTER_WP4_CSIC_2__P2611__bin.15,Bacteria,Firmicutes,1481432,463
MASTER_WP4_UNINA_1__AS102_71775__bin.1,Bacteria,Firmicutes,2288185,643
PfeferT_xxxx__SRS2870578__bin.2,Bacteria,Firmicutes,1404695,415
WalshL_xxxx__M6__bin.2,Bacteria,Firmicutes,2256001,656
WalshL_xxxx__Q2__bin.2,Bacteria,Firmicutes,2141690,620
WalshL_xxxx__S6__bin.2,Bacteria,Firmicutes,2425035,661
WalshL_xxxx__V3__bin.1,Bacteria,Firmicutes,1627016,439
AlvarezOrdonezA_xxxx__Q06-28__bin.6,Bacteria,Firmicutes,2699361,664
DeFilippisF_xxxx__DF_16__bin.12,Bacteria,Firmicutes,1150974,360
MASTER_WP4_CSIC_1__P2195_73323__bin.2,Bacteria,Firmicutes,1726557,518
MASTER_WP4_CSIC_1__P2243_73323__bin.13,Bacteria,Firmicutes,2470038,629
MASTER_WP4_CSIC_2__P2494__bin.1,Bacteria,Firmicutes,1085897,301
MASTER_WP4_CSIC_2__P2604__bin.21,Bacteria,Firmicutes,1657511,546
MASTER_WP4_CSIC_2__P2637__bin.23,Bacteria,Firmicutes,1718425,548
MASTER_WP4_UNINA_2__T-26.1__bin.1,Bacteria,Firmicutes,2778265,665
PfeferT_xxxx__SRS2870599__bin.8,Bacteria,Firmicutes,2280458,658
WalshAM_2020__ERS3466770__bin.6,Bacteria,Firmicutes,1439336,432
WalshAM_2020__ERS3466794__bin.1,Bacteria,Firmicutes,2168798,641
WalshL_xxxx__G5__bin.2,Bacteria,Firmicutes,1168977,292
WalshL_xxxx__L12__bin.2,Bacteria,Firmicutes,2227634,652
WalshL_xxxx__S10__bin.1,Bacteria,Firmicutes,2336004,656
WalshL_xxxx__S7__bin.3,Bacteria,Firmicutes,2302799,652
WalshL_xxxx__T1__bin.6,Bacteria,Firmicutes,2472277,667
WalshL_xxxx__W6__bin.1,Bacteria,Firmicutes,2286329,647
DeFilippisF_xxxx__DF_86__bin.8,Bacteria,Firmicutes,1864821,568
DeFilippisF_xxxx__DF_94__bin.1,Bacteria,Firmicutes,2244671,642
MASTER_WP4_CSIC_1__P2214_73323__bin.1,Bacteria,Firmicutes,995831,318
MASTER_WP4_CSIC_2__P2507__bin.4,Bacteria,Firmicutes,1581789,511
MASTER_WP4_CSIC_2__P2560__bin.15,Bacteria,Firmicutes,1617019,457
MASTER_WP4_CSIC_2__P2636__bin.18,Bacteria,Firmicutes,1373333,440
MASTER_WP4_TEAGASC_1__TGS13-28__bin.6,Bacteria,Firmicutes,2019419,575
MASTER_WP4_TEAGASC_1__TGS15-24__bin.3,Bacteria,Firmicutes,1089432,317
MASTER_WP4_TEAGASC_1__TGS15-28__bin.12,Bacteria,Firmicutes,2092659,623
MASTER_WP4_UNINA_1__PT008_71775__bin.6,Bacteria,Firmicutes,2274040,647
MASTER_WP4_UNINA_1__PT014_71775__bin.2,Bacteria,Firmicutes,1932640,573
WalshAM_2020__ERS3466728__bin.1,Bacteria,Firmicutes,2167325,610
WalshL_xxxx__B6__bin.4,Bacteria,Firmicutes,2326031,644
WalshL_xxxx__V9__bin.4,Bacteria,Firmicutes,2344632,651
AlvarezOrdonezA_xxxx__Q01-26__bin.1,Bacteria,Firmicutes,2619212,684
AlvarezOrdonezA_xxxx__Q01-28__bin.3,Bacteria,Firmicutes,2476503,671
AlvarezOrdonezA_xxxx__Q02-27__bin.15,Bacteria,Firmicutes,1343146,421
AlvarezOrdonezA_xxxx__Q04-29__bin.4,Bacteria,Firmicutes,2281441,626
AlvarezOrdonezA_xxxx__Q07-26__bin.4,Bacteria,Firmicutes,2508603,642
BertuzziAS_2018__ERS2032112__bin.7,Bacteria,Firmicutes,2361107,654
MASTER_WP4_CSIC_1__P2194_73323__bin.3,Bacteria,Firmicutes,2046136,624
MASTER_WP4_CSIC_2__P2605__bin.6,Bacteria,Firmicutes,1291764,420
MASTER_WP4_TEAGASC_1__TGS01-29__bin.9,Bacteria,Firmicutes,1963016,576
MASTER_WP4_UNINA_1__AS005_71775__bin.6,Bacteria,Firmicutes,2233830,650
MASTER_WP4_UNINA_1__SR008_71775__bin.24,Bacteria,Firmicutes,986466,290
MASTER_WP4_UNINA_2__O-23.1__bin.12,Bacteria,Firmicutes,2092708,636
PfeferT_xxxx__SRS2870588__bin.1,Bacteria,Firmicutes,1504834,453
PfeferT_xxxx__SRS2870598__bin.2,Bacteria,Firmicutes,2431851,657
WalshAM_2020__ERS3466793__bin.3,Bacteria,Firmicutes,2159926,535
WalshL_xxxx__I6__bin.6,Bacteria,Firmicutes,2080091,605
WalshL_xxxx__k12__bin.1,Bacteria,Firmicutes,2369281,656
WalshL_xxxx__M8__bin.1,Bacteria,Firmicutes,2257161,654
WalshL_xxxx__O12__bin.4,Bacteria,Firmicutes,2354132,671
WalshL_xxxx__P1__bin.4,Bacteria,Firmicutes,2232610,652
WalshL_xxxx__P10__bin.6,Bacteria,Firmicutes,2336782,653
AlvarezOrdonezA_xxxx__Q05-24__bin.4,Bacteria,Firmicutes,1461972,373
BertuzziAS_2018__ERS2032118__bin.4,Bacteria,Firmicutes,2393396,658
DeFilippisF_xxxx__DF_45__bin.8,Bacteria,Firmicutes,1348382,411
MASTER_WP4_CSIC_1__P2197_73323__bin.3,Bacteria,Firmicutes,1093481,327
MASTER_WP4_CSIC_1__P2238_73323__bin.11,Bacteria,Firmicutes,1499238,482
MASTER_WP4_CSIC_2__P2500__bin.7,Bacteria,Firmicutes,1396715,369
MASTER_WP4_CSIC_2__P2502__bin.6,Bacteria,Firmicutes,1788273,542
MASTER_WP4_CSIC_2__P2565__bin.7,Bacteria,Firmicutes,1013366,290
MASTER_WP4_TEAGASC_1__TGS01-27__bin.1,Bacteria,Firmicutes,2231640,585
MASTER_WP4_TEAGASC_1__TGS08-29__bin.23,Bacteria,Firmicutes,2133751,639
MASTER_WP4_TEAGASC_1__TGS12-30__bin.1,Bacteria,Firmicutes,2024408,567
MASTER_WP4_UNINA_1__AS107_71775__bin.18,Bacteria,Firmicutes,2125811,625
WalshL_xxxx__A11__bin.1,Bacteria,Firmicutes,1991942,572
WalshL_xxxx__D7__bin.6,Bacteria,Firmicutes,1866394,557
WalshL_xxxx__J7__bin.2,Bacteria,Firmicutes,2246869,659
WalshL_xxxx__k1__bin.2,Bacteria,Firmicutes,2365632,656
WalshL_xxxx__N12__bin.1,Bacteria,Firmicutes,2384302,582
WalshL_xxxx__Q9__bin.1,Bacteria,Firmicutes,2321648,659
WalshL_xxxx__R12__bin.2,Bacteria,Firmicutes,1757322,510
WalshL_xxxx__R9__bin.6,Bacteria,Firmicutes,1318955,339
WalshL_xxxx__S1__bin.2,Bacteria,Firmicutes,2150596,553
WalshL_xxxx__V2__bin.1,Bacteria,Firmicutes,2353559,652
AlvarezOrdonezA_xxxx__Q05-23__bin.2,Bacteria,Firmicutes,1487837,357
AlvarezOrdonezA_xxxx__Q06-30__bin.8,Bacteria,Firmicutes,1356244,410
BertuzziAS_2018__ERS2032089__bin.1,Bacteria,Firmicutes,1930784,593
DeFilippisF_xxxx__DS_112__bin.16,Bacteria,Firmicutes,2037500,573
MASTER_WP4_CSIC_1__P2239_73323__bin.30,Bacteria,Firmicutes,1986002,608
MASTER_WP4_CSIC_2__P2498__bin.7,Bacteria,Firmicutes,1202960,321
MASTER_WP4_FFoQSI_2__VB06-21__bin.15,Bacteria,Firmicutes,2223745,621
MASTER_WP4_TEAGASC_1__TGS01-30__bin.5,Bacteria,Firmicutes,2036301,603
MASTER_WP4_TEAGASC_1__TGS04-21__bin.4,Bacteria,Firmicutes,1977727,583
MASTER_WP4_TEAGASC_1__TGS08-21__bin.2,Bacteria,Firmicutes,1943487,566
MASTER_WP4_UNINA_1__PU010_71775__bin.11,Bacteria,Firmicutes,1359881,364
MASTER_WP4_UNINA_2__T-24__bin.2,Bacteria,Firmicutes,2407338,653
PfeferT_xxxx__SRS2870569__bin.1,Bacteria,Firmicutes,2303540,654
WalshAM_2020__ERS3466719__bin.2,Bacteria,Firmicutes,2489743,669
WalshL_xxxx__A12__bin.2,Bacteria,Firmicutes,1738148,545
WalshL_xxxx__M5__bin.6,Bacteria,Firmicutes,951634,274
AlvarezOrdonezA_xxxx__Q01-24__bin.2,Bacteria,Firmicutes,2548872,678
AlvarezOrdonezA_xxxx__Q04-28__bin.7,Bacteria,Firmicutes,2520208,660
AlvarezOrdonezA_xxxx__Q08-21__bin.5,Bacteria,Firmicutes,2262711,649
BertuzziAS_2018__ERS2032100__bin.3,Bacteria,Firmicutes,2216330,630
DeFilippisF_xxxx__DF_26__bin.7,Bacteria,Firmicutes,1207919,345
MASTER_WP4_CSIC_2__P2537__bin.2,Bacteria,Firmicutes,799243,244
MASTER_WP4_CSIC_2__P2570__bin.16,Bacteria,Firmicutes,2210520,647
MASTER_WP4_CSIC_2__P2620__bin.8,Bacteria,Firmicutes,1614025,496
MASTER_WP4_CSIC_2__P2621__bin.16,Bacteria,Firmicutes,2099056,613
MASTER_WP4_CSIC_2__P2625__bin.13,Bacteria,Firmicutes,1721809,566
MASTER_WP4_UNINA_1__PM003_71775__bin.2,Bacteria,Firmicutes,2372629,654
WalshAM_2020__ERS3466739__bin.1,Bacteria,Firmicutes,2341054,638
WalshAM_2020__ERS3466772__bin.4,Bacteria,Firmicutes,2510798,674
WalshL_xxxx__I3__bin.4,Bacteria,Firmicutes,2256179,654
WalshL_xxxx__I7__bin.4,Bacteria,Firmicutes,2238720,653
WalshL_xxxx__P2__bin.3,Bacteria,Firmicutes,1673846,502
AlvarezOrdonezA_xxxx__Q07-23__bin.3,Bacteria,Firmicutes,2059424,607
MASTER_WP4_CSIC_1__P2147_73322__bin.39,Bacteria,Firmicutes,1938788,557
MASTER_WP4_CSIC_1__P2232_73323__bin.1,Bacteria,Firmicutes,2082219,631
MASTER_WP4_CSIC_2__P2482__bin.8,Bacteria,Firmicutes,1263010,373
MASTER_WP4_CSIC_2__P2510__bin.3,Bacteria,Firmicutes,994401,305
MASTER_WP4_CSIC_2__P2600__bin.8,Bacteria,Firmicutes,2105349,628
MASTER_WP4_CSIC_2__P2606__bin.8,Bacteria,Firmicutes,1379767,441
MASTER_WP4_CSIC_2__P2624__bin.27,Bacteria,Firmicutes,2004470,621
MASTER_WP4_FFoQSI_1__DC18-04-BC__bin.5,Bacteria,Firmicutes,1639235,521
MASTER_WP4_FFoQSI_1__DC18-F-BC__bin.5,Bacteria,Firmicutes,1900446,583
MASTER_WP4_TEAGASC_1__TGS03-29__bin.2,Bacteria,Firmicutes,2238443,608
MASTER_WP4_TEAGASC_1__TGS08-23__bin.2,Bacteria,Firmicutes,1908871,529
MASTER_WP4_TEAGASC_1__TGS09-25__bin.7,Bacteria,Firmicutes,1506710,400
